CustomerID,TotalInvestments,TotalAmount,AvgAmount,TotalROI,AvgROI,FirstInvestment,LastInvestment,DaysActive,IsChurnRisk,InvestmentFrequency,ROI_Ratio,Gender,Age,Region,RiskProfile,JoinDate,PreferredInvestmentType,CustomerAgeDays,CustomerAgeMonths,CLV,Segment
INV00001,7,61386.21000000001,8769.458571428573,9517.16,1359.5942857142857,2024-02-18,2024-12-28,314,False,52.333333333333336,15.503742615808989,Female,34,Kano,Medium,2023-10-21,Crypto,573,18.823915900131404,505.5887441535777,0.0
INV00002,6,94598.19,15766.365,9211.42,1535.2366666666667,2024-01-14,2024-10-19,279,False,55.8,9.737416751842714,Male,43,Enugu,Medium,2023-11-07,Stocks,556,18.265440210249672,504.30867769784174,0.0
INV00003,1,5423.3,5423.3,196.15,196.15,2024-07-16,2024-07-16,0,False,,3.6168015783747904,Male,64,Lagos,Low,2023-09-08,Mutual Fund,616,20.2365308804205,9.692866883116883,
INV00004,5,45305.56,9061.112,-653.5,-130.7,2023-05-30,2024-04-24,330,True,82.5,-1.4424278168065907,Female,62,Enugu,Low,2023-01-27,Fixed Income,840,27.59526938239159,-23.681595238095237,0.0
INV00005,6,80486.51000000001,13414.418333333335,4018.34,669.7233333333334,2023-06-17,2024-11-08,510,False,102.0,4.992563350057046,Male,20,Abuja,Medium,2022-11-07,Fixed Income,921,30.256241787122207,132.8102818675353,0.0
INV00006,5,49861.89,9972.378,3068.65,613.73,2022-04-13,2024-11-05,937,False,234.25,6.154299405818753,Male,46,Enugu,Medium,2020-04-16,Real Estate,1856,60.972404730617605,50.32850538793104,0.0
INV00007,4,44728.46,11182.115,6709.9,1677.475,2023-05-27,2024-03-03,281,True,93.66666666666667,15.001410734910166,Male,56,Port Harcourt,High,2023-02-21,Crypto,815,26.773981603153743,250.61270674846625,0.0
INV00008,7,95024.51999999999,13574.931428571426,5145.66,735.0942857142857,2023-07-04,2024-09-05,429,False,71.5,5.415086548187773,Female,22,Port Harcourt,Low,2023-05-23,Fixed Income,724,23.78449408672799,216.34515248618786,0.0
INV00009,3,34205.78999999999,11401.929999999998,17588.86,5862.953333333334,2021-11-12,2024-12-12,1126,False,563.0,51.420709768726304,Male,38,Port Harcourt,Low,2020-04-06,Crypto,1866,61.300919842312744,286.92652647374064,2.0
INV00010,5,68115.44,13623.088,1422.87,284.57399999999996,2020-05-26,2023-05-10,1079,True,269.75,2.0889096510277256,Female,48,Abuja,Low,2020-04-23,Crypto,1849,60.74244415243101,23.424641860465115,0.0
INV00011,2,3091.09,1545.545,149.86,74.93,2022-02-03,2022-12-12,312,True,312.0,4.848128006625495,Female,67,Abuja,Medium,2021-09-30,Mutual Fund,1324,43.495400788436264,3.4454217522658617,1.0
INV00012,2,36758.5,18379.25,3253.65,1626.825,2021-04-07,2024-11-23,1326,False,1326.0,8.851422120053867,Female,29,Abuja,Medium,2020-02-17,Crypto,1915,62.91064388961892,51.718593211488255,1.0
INV00013,4,18844.309999999998,4711.077499999999,1452.8200000000002,363.20500000000004,2021-02-21,2024-07-07,1232,False,410.6666666666667,7.7095950979367265,Female,22,Enugu,High,2020-03-14,Real Estate,1889,62.056504599211564,23.411244467972473,1.0
INV00014,3,8041.82,2680.6066666666666,394.68,131.56,2022-12-08,2024-09-03,635,False,317.5,4.907844244213375,Male,40,Port Harcourt,Medium,2022-07-31,Mutual Fund,1020,33.50854139290407,11.778489411764706,1.0
INV00015,5,26023.3,5204.66,663.43,132.68599999999998,2021-08-25,2023-03-31,583,True,145.75,2.549369219122863,Male,36,Kano,Medium,2020-08-12,Mutual Fund,1738,57.09592641261498,11.619568009205983,0.0
INV00016,4,10770.26,2692.565,580.61,145.1525,2020-10-07,2024-11-12,1497,False,499.0,5.390863358916127,Male,29,Kano,Low,2020-04-21,Real Estate,1851,60.808147174770035,9.548227120475419,1.0
INV00017,3,20489.1,6829.7,1186.32,395.44,2024-08-07,2024-10-23,77,False,38.5,5.790005417514679,Other,61,Lagos,Low,2023-12-04,Crypto,529,17.378449408672797,68.26385784499055,1.0
INV00018,7,53563.53,7651.932857142857,12732.1,1818.8714285714286,2023-11-15,2024-12-22,403,False,67.16666666666667,23.770091328932207,Male,54,Kano,Low,2023-09-25,Mutual Fund,599,19.678055190538764,647.0202404006678,0.0
INV00019,7,52952.119999999995,7564.5885714285705,-20499.98,-2928.5685714285714,2022-12-10,2024-11-01,692,False,115.33333333333333,-38.71418179291028,Female,55,Abuja,Medium,2022-04-26,Mutual Fund,1116,36.662286465177395,-559.1571605734767,0.0
INV00020,4,45914.659999999996,11478.664999999999,-3222.03,-805.5075,2023-07-30,2024-08-25,392,False,130.66666666666666,-7.017431905191067,Male,54,Lagos,Medium,2023-07-01,Crypto,685,22.503285151116952,-143.1804280291971,0.0
INV00021,3,30454.32,10151.44,-1700.45,-566.8166666666667,2022-01-12,2022-09-09,240,True,120.0,-5.58360849954949,Male,47,Lagos,Medium,2021-02-24,Crypto,1542,50.65703022339027,-33.56789753566797,1.0
INV00022,5,57699.34,11539.867999999999,9761.69,1952.3380000000002,2022-03-23,2024-12-30,1013,False,253.25,16.918200450819718,Male,53,Kano,Low,2021-08-31,Real Estate,1354,44.48094612352168,219.4577870014771,0.0
INV00023,6,98664.94,16444.156666666666,7768.66,1294.7766666666666,2023-06-06,2024-07-31,421,False,84.2,7.873779683036345,Male,31,Port Harcourt,Medium,2023-05-17,Fixed Income,730,23.98160315374507,323.94248000000005,0.0
INV00024,5,85158.94,17031.788,21224.99,4244.9980000000005,2023-12-02,2024-10-03,306,False,76.5,24.923971575973116,Male,66,Kano,High,2022-12-28,Crypto,870,28.580814717477004,742.6306845977012,3.0
INV00025,5,61992.28,12398.456,5084.01,1016.802,2022-04-29,2024-12-21,967,False,241.75,8.201037290449714,Male,68,Lagos,Medium,2021-03-27,Fixed Income,1511,49.63863337713535,102.42042647253474,0.0
INV00026,8,87427.51,10928.43875,7439.599999999999,929.9499999999999,2020-10-15,2024-08-18,1403,False,200.42857142857142,8.509449714397677,Female,47,Kano,Medium,2020-01-03,Fixed Income,1960,64.38896189224704,115.54154285714286,0.0
INV00027,7,77114.64,11016.377142857144,7037.72,1005.3885714285715,2021-07-12,2024-09-12,1158,False,193.0,9.126308571238873,Male,20,Enugu,Medium,2020-12-06,Real Estate,1622,53.285151116951376,132.07657016029594,0.0
INV00028,3,20897.89,6965.963333333333,1471.37,490.45666666666665,2020-06-22,2022-05-17,694,True,347.0,7.04075866032408,Female,47,Port Harcourt,Low,2020-02-09,Mutual Fund,1923,63.17345597897503,23.290953094123765,1.0
INV00029,4,15400.48,3850.12,437.07,109.2675,2023-09-12,2024-09-26,380,False,126.66666666666667,2.838028425088049,Female,45,Enugu,High,2023-09-08,Fixed Income,616,20.2365308804205,21.59806948051948,1.0
INV00030,6,49303.36,8217.226666666667,7139.08,1189.8466666666666,2021-12-07,2024-12-02,1091,False,218.2,14.479905629149819,Female,66,Port Harcourt,Low,2021-08-19,Stocks,1366,44.875164257555845,159.0875513909224,0.0
INV00032,2,2082.04,1041.02,284.6,142.3,2023-05-01,2023-07-21,81,True,81.0,13.66928589268218,Female,36,Abuja,High,2023-04-15,Real Estate,762,25.03285151116951,11.36906036745407,1.0
INV00033,3,26386.2,8795.4,-3134.68,-1044.8933333333332,2024-02-17,2024-12-06,293,False,146.5,-11.879997877678484,Male,49,Port Harcourt,Low,2023-03-05,Crypto,803,26.379763469119577,-118.82896537982566,1.0
INV00034,8,74724.40000000001,9340.550000000001,16079.669999999998,2009.9587499999998,2021-03-17,2024-09-20,1283,False,183.28571428571428,21.518633806360434,Male,69,Kano,High,2020-04-09,Crypto,1863,61.202365308804204,262.7295516908212,0.0
INV00036,7,68845.19,9835.027142857143,4846.26,692.3228571428572,2023-05-11,2024-12-03,572,False,95.33333333333333,7.039358886219937,Female,35,Kano,Medium,2023-04-19,Mutual Fund,758,24.901445466491456,194.61761794195255,0.0
INV00037,3,16922.43,5640.81,2408.98,802.9933333333333,2023-12-31,2024-10-03,277,False,138.5,14.235425999693895,Female,22,Enugu,High,2023-10-14,Real Estate,580,19.053876478318003,126.42991586206897,1.0
INV00038,3,32116.670000000002,10705.556666666667,926.1800000000001,308.7266666666667,2020-10-02,2022-09-26,724,True,362.0,2.8837983514480174,Male,64,Lagos,Low,2020-08-01,Fixed Income,1749,57.45729303547963,16.119450657518584,1.0
INV00039,2,32600.47,16300.235,16374.199999999999,8187.099999999999,2023-01-20,2023-06-21,152,True,152.0,50.226883232051556,Female,63,Port Harcourt,Medium,2022-05-12,Crypto,1100,36.136662286465175,453.1187709090909,2.0
INV00040,3,12732.57,4244.19,886.6700000000001,295.5566666666667,2023-12-30,2024-07-05,188,False,94.0,6.963794426419804,Female,40,Port Harcourt,Low,2023-12-06,Real Estate,527,17.31274638633377,51.21486679316889,1.0
INV00042,4,53526.41,13381.6025,-15089.23,-3772.3075,2021-09-18,2024-08-15,1062,False,354.0,-28.190252251178432,Female,58,Lagos,Low,2021-08-11,Crypto,1374,45.137976346911955,-334.2912381368268,1.0
INV00043,6,89880.44,14980.073333333334,1481.26,246.87666666666667,2021-03-29,2024-03-01,1068,True,213.6,1.6480337657448048,Male,28,Port Harcourt,High,2020-04-16,Mutual Fund,1856,60.972404730617605,24.293940948275864,0.0
INV00044,3,42285.33,14095.11,7486.34,2495.4466666666667,2022-04-19,2023-12-28,618,True,309.0,17.70434332663361,Male,46,Enugu,High,2022-04-17,Fixed Income,1125,36.957950065703024,202.56372408888888,3.0
INV00045,5,49009.25,9801.85,7686.33,1537.266,2023-03-15,2024-03-31,382,True,95.5,15.683427108147951,Female,55,Lagos,Medium,2021-07-30,Mutual Fund,1386,45.532194480946124,168.81088398268398,0.0
INV00046,4,48322.96,12080.74,2063.4300000000003,515.8575000000001,2022-05-10,2024-08-16,829,False,276.3333333333333,4.2700819651776305,Female,35,Enugu,Medium,2022-04-23,Stocks,1119,36.760840998685936,56.13119678284184,1.0
INV00048,8,64452.619999999995,8056.577499999999,1639.21,204.90125,2022-07-03,2024-10-03,823,False,117.57142857142857,2.543279078492077,Female,22,Abuja,Low,2022-04-06,Mutual Fund,1136,37.319316688567675,43.92390176056338,0.0
INV00049,2,11834.18,5917.09,-3366.54,-1683.27,2024-01-05,2024-09-22,261,False,261.0,-28.447598397185104,Female,27,Abuja,Low,2023-11-19,Stocks,544,17.871222076215506,-188.37771617647059,1.0
